country,contracts,dominant_mechanic,region,take_50,take_75,take_100,take_125,npv_75_musd,irr_75_pct,breakeven_usd
Nepal,2,Concession,Asia Pacific,26.78,29.19,30.39,31.11,1690.7,,-1.0
New Caledonia,2,Concession,Other,22.52,25.07,26.35,27.11,1829.4,,-1.0
Palau,2,Concession,Other,20.62,22.55,23.51,24.09,1913.3,,-1.0
Samoa,2,Concession,Other,20.62,22.55,23.51,24.09,1913.3,,-1.0
Syrian Arab Republic,2,Concession,Middle East,28.91,31.61,32.96,33.76,1609.7,,-1.0
UAE — Dubai,2,Concession,Other,6.4,7.27,7.7,7.96,2425.9,,-1.0
Ascension Island,1,Concession,Other,26.78,29.19,30.39,31.11,1690.7,,-1.0
Brunei Darussalam,1,PSC,Other,58.74,66.42,70.26,72.56,464.2,,-1.0
French Polynesia,1,Concession,Other,22.52,25.07,26.35,27.11,1829.4,,-1.0
Guadeloupe,1,Concession,Other,22.52,25.07,26.35,27.11,1829.4,,-1.0
Micronesia,1,Concession,Other,20.62,22.55,23.51,24.09,1913.3,,-1.0
Nauru,1,Concession,Other,20.62,22.55,23.51,24.09,1913.3,,-1.0
Puerto Rico,1,Concession,Other,24.81,26.83,27.84,28.45,1769.4,,-1.0
Saint Helena,1,Concession,Other,26.78,29.19,30.39,31.11,1690.7,,-1.0
Sao Tome,1,PSC,Other,55.11,62.57,66.31,68.54,582.9,524.9,-1.0
Sao Tome & Principe,1,PSC,Other,55.11,62.57,66.31,68.54,582.9,524.9,-1.0
Tuvalu,1,Concession,Other,20.62,22.55,23.51,24.09,1913.3,,-1.0
Western Sahara,1,Concession,Other,28.94,31.93,33.42,34.32,1599.3,,-1.0
